PPG,ECTS,Naziv,Sifra,TipSP,VrstaSP,Izvodjac,Nositelj,Trajanje,IzvodjacMjesto,JezikIzvođenja,NacinIzvođenja,Akademski_stupanj,Vrsta_ustanove_nositelja
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,60,Neurologija,2478,sveučilišni,poslijediplomski specijalistički studiji,"Fakultet za dentalnu medicinu i zdravstvo, Osijek ",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,1,OSIJEK,hrvatski jezik,klasično,sveučilišni/a magistar/magistra neurologije ,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,60,Psihijatrija,2480,sveučilišni,poslijediplomski specijalistički studiji,"Fakultet za dentalnu medicinu i zdravstvo, Osijek ",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,1,OSIJEK,hrvatski jezik,klasično,sveučilišni/a magistar/magistra psihijatrije ,Javno
6.10.  HUMANISTIČKE ZNANOSTI / Interdisciplinarne humanističke znanosti,180,Jezična i interkulturna medijacija,2481,sveučilišni,preddiplomski sveučilišni studij,Sveučilište Jurja Dobrile u Puli ,Sveučilište Jurja Dobrile u Puli ,3,PULA,hrvatski jezik,klasično,sveučilišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) jezične i interkulturne medijacije ,Javno
2.09.  TEHNIČKE ZNANOSTI / Računarstvo,180,Računarstvo ,2482,sveučilišni,preddiplomski sveučilišni studij,Sveučilište Jurja Dobrile u Puli ,Sveučilište Jurja Dobrile u Puli ,3,PULA,hrvatski jezik,klasično,,Javno
,120,Upravni studij,2483,stručni,specijalistički diplomski stručni studij,Veleučilište u Šibeniku,Veleučilište u Šibeniku,2,ŠIBENIK,hrvatski jezik,klasično,,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,60,Dječja kirurgija,2484,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra dječje kirurgije,Javno
2.16.  TEHNIČKE ZNANOSTI / Interdisciplinarne tehničke znanosti,60,Upravljanje i procjena vrijednosti nekretnina ,2485,stručni,specijalistički diplomski stručni studij,Tehničko veleučilište u Zagrebu,Tehničko veleučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,stručni/a specijalist/ specijalistica inženjer/inženjerka za upravljanje i procjenu vrijednosti nekretnina,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,60,Tržište nekretnina,2487,sveučilišni,poslijediplomski specijalistički studiji,"Ekonomski fakultet, Zagreb ",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a specijalist/specijalistica ekonomije  ,Javno
,60,"Ekonomika energije i okoliša
",2488,sveučilišni,poslijediplomski specijalistički studiji,"Ekonomski fakultet, Zagreb ",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,,Javno
5.04.  DRUŠTVENE ZNANOSTI / Informacijske i komunikacijske znanosti,90,Informatologija (dvopredmetni),2490,sveučilišni,preddiplomski sveučilišni studij,"Filozofski fakultet, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,3,OSIJEK,hrvatski jezik,klasično,sveučililišni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) informatologije ,Javno
,120,Hotelijersko-turistički menadžment ,2491,stručni,specijalistički diplomski stručni studij,"Visoka škola za menadžment i dizajn Aspira, Split ","Visoka škola za menadžment i dizajn Aspira, Split ",2,SPLIT,hrvatski jezik; engleski jezik,klasično,,Privatno 
,180,Poslovna informatika,2492,stručni,preddiplomski stručni studij,Veleučilište u Šibeniku,Veleučilište u Šibeniku,3,ŠIBENIK,hrvatski jezik,klasično,,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,120,Projektni menadžment,2493,stručni,specijalistički diplomski stručni studij,Veleučilište s pravom javnosti Baltazar Zaprešić ,Veleučilište s pravom javnosti Baltazar Zaprešić ,2,ZAPREŠIĆ,hrvatski jezik,klasično,stručni/a specijalist/ specijalistica projektnog menadžmenta,Privatno 
7.03.  UMJETNIČKO PODRUČJE / Glazbena umjetnost,60,Crkvena glazba; glazbena pedagogija,2495,sveučilišni,diplomski sveučilišni studij,"Katolički bogoslovni fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,magistar/magistra muzike ,Javno
,120,Neverbalni teatar (jednopredmetni),2500,sveučilišni,diplomski sveučilišni studij,"Akademija za umjetnost i kulturu, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,2,OSIJEK,hrvatski jezik,klasično,,Javno
,60,Gluma (dvopredmetni) ,2501,sveučilišni,diplomski sveučilišni studij,"Akademija za umjetnost i kulturu, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,2,OSIJEK,hrvatski jezik,klasično,,Javno
,120,Lutkarska animacija (jednopredmetni),2502,sveučilišni,diplomski sveučilišni studij,"Akademija za umjetnost i kulturu, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,2,OSIJEK,hrvatski jezik,klasično,,Javno
,120,Lutkarska animacija (dvopredmetni) ,2504,sveučilišni,diplomski sveučilišni studij,"Akademija za umjetnost i kulturu, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,2,OSIJEK,hrvatski jezik,klasično,,Javno
,120,Neverbalni teatar (dvopredmetni),2505,sveučilišni,diplomski sveučilišni studij,"Akademija za umjetnost i kulturu, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,2,OSIJEK,hrvatski jezik,klasično,,Javno
,60,Lutkarska režija (dvopredmetni),2507,sveučilišni,diplomski sveučilišni studij,"Akademija za umjetnost i kulturu, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,2,OSIJEK,hrvatski jezik,klasično,,Javno
,90,Hrvatski jezik i književnost (dvopredmetni),2509,sveučilišni,preddiplomski sveučilišni studij,Sveučilište u Zadru,Sveučilište u Zadru,3,ZADAR,hrvatski jezik,klasično,,Javno
,60,CO2 Geological Storage (Geološko skladištenje CO2) ,2510,sveučilišni,poslijediplomski specijalistički studiji,"Rudarsko-geološko-naftni fakultet, Zagreb ",Sveučilište u Zagrebu,1,ZAGREB,engleski jezik,združeni studij,,Javno
,120,Mediji i odnosi s javnošću (jednopredmetni) ,2511,sveučilišni,diplomski sveučilišni studij,"Akademija za umjetnost i kulturu, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,2,OSIJEK,hrvatski jezik,klasično,,Javno
,60,Mediji i odnosi s javnošću (dvopredmetni),2512,sveučilišni,diplomski sveučilišni studij,"Akademija za umjetnost i kulturu, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,2,OSIJEK,hrvatski jezik,klasično,,Javno
,180,"Kultura, mediji i menadžment ",2513,sveučilišni,preddiplomski sveučilišni studij,"Akademija za umjetnost i kulturu, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,3,OSIJEK,hrvatski jezik,klasično,,Javno
,120,Menadžment u kulturi i kreativnim industrijama (jednopredmetni) ,2515,sveučilišni,diplomski sveučilišni studij,"Akademija za umjetnost i kulturu, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,2,OSIJEK,hrvatski jezik,klasično,,Javno
,120,Menadžment u kulturi i kreativnim industrijama (dvopredmetni) ,2516,sveučilišni,diplomski sveučilišni studij,"Akademija za umjetnost i kulturu, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,2,OSIJEK,hrvatski jezik,klasično,,Javno
,180,Rani i predškolski odgoj i obrazovanje na hrvatskom i talijanskom jeziku,2517,sveučilišni,preddiplomski sveučilišni studij,Sveučilište Jurja Dobrile u Puli ,Sveučilište Jurja Dobrile u Puli ,3,PULA,hrvatski jezik; talijanski jezik,klasično,,Javno
,,Dentalna medicina ,2520,sveučilišni,poslijediplomski sveučilišni studiji,"Medicinski fakultet, Rijeka ",Sveučilište u Rijeci,3,RIJEKA,hrvatski jezik,klasično,,Javno
,180,"Jezični, književni i kulturni kontekst ranoga, predškolskoga i primarnoga obrazovanja",2521,sveučilišni,poslijediplomski sveučilišni studiji,"Učiteljski fakultet, Zagreb ",Sveučilište u Zagrebu,3,ZAGREB,hrvatski jezik,klasično,,Javno
,180,Povijest umjetnosti (dvopredmetni),2522,sveučilišni,preddiplomski sveučilišni studij,"Filozofski fakultet, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,3,OSIJEK,hrvatski jezik,klasično,,Javno
,180,Hotelijerstvo i gastronomija ,2523,sveučilišni,preddiplomski sveučilišni studij,Sveučilište u Splitu,Sveučilište u Splitu,3,SPLIT,hrvatski jezik,klasično,,Javno
,180,Mediteranska poljoprivreda ,2524,sveučilišni,preddiplomski sveučilišni studij,Sveučilište u Splitu,Sveučilište u Splitu,3,SPLIT,hrvatski jezik,klasično,,Javno
,180,"Sigurnost, zdravlje na radu i radni okoliš ",2525,sveučilišni,preddiplomski sveučilišni studij,"Metalurški fakultet, Sisak",Sveučilište u Zagrebu,3,SISAK,hrvatski jezik,klasično,,Javno
,120,Primaljstvo,2526,sveučilišni,diplomski sveučilišni studij,"Fakultet zdravstvenih studija, Rijeka",Sveučilište u Rijeci,2,RIJEKA,hrvatski jezik,klasično,,Javno
,60,Njemački jezik i književnost (opći smjer)(dvopredmetni),2528,sveučilišni,diplomski sveučilišni studij,"Filozofski fakultet, Rijeka ",Sveučilište u Rijeci,2,RIJEKA,hrvatski jezik,klasično,,Javno
,60,Sveučilišni diplomski dvopredmetni prevoditeljski studij,2529,sveučilišni,diplomski sveučilišni studij,"Filozofski fakultet, Rijeka ",Sveučilište u Rijeci,2,RIJEKA,hrvatski jezik,klasično,,Javno
,60,Dentalno-medicinski turizam,2530,sveučilišni,poslijediplomski specijalistički studiji,"Stomatološki fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,,Javno
,60,Klavir,2531,sveučilišni,diplomski sveučilišni studij,Sveučilište Jurja Dobrile u Puli ,Sveučilište Jurja Dobrile u Puli ,1,PULA,hrvatski jezik,klasično,,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,60,Laboratorijska dijagnostika ,2533,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,klasično,sveučilišni/a magistar/magistra laboratorijske dijagnostike,Javno
,120,Sestrinstvo ,2535,sveučilišni,diplomski sveučilišni studij,"Fakultet za dentalnu medicinu i zdravstvo, Osijek ",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,2,OSIJEK,hrvatski jezik,klasično,,Javno
,150,Demografija i hrvatsko iseljeništvo (dvopredmetni),2536,sveučilišni,integrirani preddiplomski i diplomski sveučilišni ,Sveučilište u Zagrebu,Sveučilište u Zagrebu,5,ZAGREB,hrvatski jezik,klasično,,Javno
,120,"Japanologija (jednopredmetni); smjer: opći, nastavnički",2538,sveučilišni,diplomski sveučilišni studij,Sveučilište Jurja Dobrile u Puli ,Sveučilište Jurja Dobrile u Puli ,2,PULA,hrvatski jezik,klasično,,Javno
,120,Japanologija (dvopredmetni) ,2539,sveučilišni,diplomski sveučilišni studij,Sveučilište Jurja Dobrile u Puli ,Sveučilište Jurja Dobrile u Puli ,2,PULA,hrvatski jezik,klasično,,Javno
,60,Abdominalna kirurgija ,2541,sveučilišni,poslijediplomski specijalistički studiji,"Medicinski fakultet, Rijeka ",Sveučilište u Rijeci,1,RIJEKA,hrvatski jezik,klasično,,Javno
,300,"Učiteljski studij; smjerovi: engleski jezik, njemački jezik",2543,sveučilišni,integrirani preddiplomski i diplomski sveučilišni ,"Učiteljski fakultet, Zagreb ",Sveučilište u Zagrebu,5,ZAGREB,hrvatski jezik,klasično,,Javno
,60,Sociologija (dvopredmetni) ,2546,sveučilišni,diplomski sveučilišni studij,"Filozofski fakultet, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,2,OSIJEK,hrvatski jezik,klasično,,Javno
,60,Upravljanje kvalitetom i održivim razvojem u turizmu,2547,sveučilišni,poslijediplomski specijalistički studiji,Sveučilište u Dubrovniku,Sveučilište u Dubrovniku,1,DUBROVNIK,hrvatski jezik,klasično,,Javno
,120,MIREES - Interdisciplinarni diplomski studij Istočne Europe ,2550,sveučilišni,diplomski sveučilišni studij,"Fakultet političkih znanosti, Zagreb",Sveučilište u Zagrebu,2,ZAGREB,engleski jezik,združeni studij,,Javno
,120,Elektroničko poslovanje u privatnom i javnom sektoru ,2551,stručni,specijalistički diplomski stručni studij,"Ekonomski fakultet, Zagreb ",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,,Javno
,180,Informacijske tehnologije ,2552,stručni,preddiplomski stručni studij,Sveučilište u Zadru,Sveučilište u Zadru,3,ZADAR,hrvatski jezik,klasično,,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,120,Menadžment javnog sektora ,2555,stručni,specijalistički diplomski stručni studij,Veleučilište s pravom javnosti Baltazar Zaprešić ,Veleučilište s pravom javnosti Baltazar Zaprešić ,2,ZAPREŠIĆ,hrvatski jezik,klasično,stručni/a specijalist/specijalistica menadžmenta javnog sektora ,Privatno 
,120,Digitalni marketing ,2557,stručni,specijalistički diplomski stručni studij,"Ekonomski fakultet, Zagreb ",Sveučilište u Zagrebu,2,ZAGREB,hrvatski jezik,klasično,,Javno
,90,Vođenje i upravljanje odgojno-obrazovnim ustanovama ,2560,sveučilišni,poslijediplomski specijalistički studiji,"Fakultet za odgojne i obrazovne znanosti, Osijek ",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,1.5,OSIJEK,hrvatski jezik,klasično,,Javno
,120,Chemical and Environmental Technology,2563,sveučilišni,diplomski sveučilišni studij,"Fakultet kemijskog inženjerstva i tehnologije, Zagreb",Sveučilište u Zagrebu,2,ZAGREB,engleski jezik,zajednički studij,,Javno
,120,Chemical and Environmental Technology,2563,sveučilišni,diplomski sveučilišni studij,"Kemijsko-tehnološki fakultet, Split ",Sveučilište u Zagrebu,2,SPLIT,engleski jezik,zajednički studij,,Javno
,60,"Proizvodi, digitalne inovacije i tehnologije u osiguranju -INSURTECH",2564,sveučilišni,poslijediplomski specijalistički studiji,"Fakultet elektrotehnike i računarstva, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik; engleski jezik,klasično,,Javno
,180,Logopedija ,2565,sveučilišni,preddiplomski sveučilišni studij,Sveučilište u Rijeci,Sveučilište u Rijeci,3,RIJEKA,hrvatski jezik,klasično,,Javno
,120,"Poslovno upravljanje; smjerovi: Upravljanje malim i srednjim poduzećima, Upravljanje financijama, Upravljanje u sportu ",2567,stručni,specijalistički diplomski stručni studij,"Visoka poslovna škola PAR, Rijeka ","Visoka poslovna škola PAR, Rijeka ",2,RIJEKA,hrvatski jezik,klasično,,Privatno 
,180,Drvna tehnologija ,2568,stručni,preddiplomski stručni studij,"Šumarski fakultet, Zagreb ",Sveučilište u Zagrebu,3,ZAGREB,hrvatski jezik,klasično,,Javno
,180,Drvna tehnologija ,2569,stručni,preddiplomski stručni studij,"Šumarski fakultet, Zagreb ",Sveučilište u Zagrebu,3,ZAGREB,hrvatski jezik,klasično,,Javno
,90,Urbani studiji (Urban Studies),2571,sveučilišni,poslijediplomski specijalistički studiji,Sveučilište u Rijeci,Sveučilište u Rijeci,1.5,RIJEKA,engleski jezik; hrvatski jezik,klasično,,Javno
,120,Socijalni rad,2572,sveučilišni,diplomski sveučilišni studij,"Pravni fakultet, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,2,OSIJEK,hrvatski jezik,klasično,,Javno
,300,"Učiteljski studij; smjerovi: engleski jezik, njemački jezik",2573,sveučilišni,integrirani preddiplomski i diplomski sveučilišni ,"Učiteljski fakultet, Zagreb ",Sveučilište u Zagrebu,5,ZAGREB,hrvatski jezik,klasično,,Javno
7.01.  UMJETNIČKO PODRUČJE / Kazališna umjetnost (scenske i medijske umjetnosti),120,"Lutka za kazalište, film i multimediju (jednopredmetni) ",2360,sveučilišni,diplomski sveučilišni studij,"Akademija za umjetnost i kulturu, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,2,OSIJEK,hrvatski jezik,klasično,magistar/magistra lutkarstva,Javno
8.00.  INTERDISCIPLINARNA PODRUČJA ZNANOSTI,60,Intelektualno vlasništvo,2300,sveučilišni,poslijediplomski specijalistički studiji,"Arhitektonski fakultet, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,zajednički studij,sveučilišni/a specijalist/specijalistica intelektualnog vlasništva ,Javno
5.01.  DRUŠTVENE ZNANOSTI / Ekonomija,90,"Računovodstvo, revizija i analiza",2291,sveučilišni,poslijediplomski specijalistički studiji,"Ekonomski fakultet, Osijek",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,1.5,OSIJEK,hrvatski jezik,klasično,"sveučilišni/a specijalist/specijalistica računovodstva, revizije i analize",Javno
5.10.  DRUŠTVENE ZNANOSTI / Kineziologija,180,Kineziologija; smjer: Kineziterapija,2420,stručni,preddiplomski stručni studij,"Kineziološki fakultet, Split ",Sveučilište u Splitu,3,SPLIT,hrvatski jezik,klasično; on-line studij,stručni/a prvostupnik/prvostupnica (baccalaureus/baccalaurea) kineziologije,Javno
,180,Kineziologija; smjer: Rekreacija i fitnes ,2559,stručni,preddiplomski stručni studij,"Kineziološki fakultet, Split ",Sveučilište u Splitu,3,SPLIT,hrvatski jezik,klasično; on-line studij,,Javno
,120,Matematika i informatika; smjer; nastavnički,2548,sveučilišni,diplomski sveučilišni studij,Sveučilište Josipa Jurja Strossmayera u Osijeku - Odjel za matematiku,Sveučilište Josipa Jurja Strossmayera u Osijeku - Odjel za matematiku,2,OSIJEK,hrvatski jezik,klasično,,Javno
3.05.  BIOMEDICINA I ZDRAVSTVO / Dentalna medicina,180,Dentalna higijena ,2280,sveučilišni,preddiplomski sveučilišni studij,"Fakultet za dentalnu medicinu i zdravstvo, Osijek ",Sveučilište  Josipa Jurja Strossmayera u Osijeku ,3,OSIJEK,hrvatski jezik,klasično,sveučilišni prvostupnik/prvostupnica dentalne higijene,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,120,Klinički nutricionizam,2278,sveučilišni,diplomski sveučilišni studij,"Medicinski fakultet, Rijeka ",Sveučilište u Rijeci,2,RIJEKA,hrvatski jezik,zajednički studij,magistar/magistra kliničkog nutricionizma,Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,120,Sestrinstvo - menadžment u sestrinstvu,2447,sveučilišni,diplomski sveučilišni studij,"Sveučilište Sjever, Koprivnica","Sveučilište Sjever, Koprivnica",2,KOPRIVNICA,hrvatski jezik,klasično,magistar/magistra sestrinstva ,Javno
,90,Povijest (dvopredmetni) ,2544,sveučilišni,preddiplomski sveučilišni studij,"Hrvatsko katoličko sveučilište, Zagreb","Hrvatsko katoličko sveučilište, Zagreb",3,ZAGREB,hrvatski jezik,klasično,,Privatno 
4.00.  BIOTEHNIČKE ZNANOSTI,180,Šumarstvo i drvna tehnologija ,2269,sveučilišni,poslijediplomski sveučilišni studiji,"Šumarski fakultet, Zagreb ",Sveučilište u Zagrebu,3,ZAGREB,hrvatski jezik,klasično,"doktor/doktorica znanosti, područje biotehničke znanosti",Javno
5.13.  DRUŠTVENE ZNANOSTI / Sigurnosne i obrambene znanosti,60,Vojno vođenje i upravljanje ,2468,sveučilišni,diplomski sveučilišni studij,"Fakultet strojarstva i brodogradnje, Zagreb",Sveučilište u Zagrebu,1,ZAGREB,hrvatski jezik,zajednički studij,magistar/magistra vojnog vođenja i upravljanja,Javno
5.14.  DRUŠTVENE ZNANOSTI / Interdisciplinarne društvene znanosti,180,Međunarodni odnosi ,2294,sveučilišni,poslijediplomski sveučilišni studiji,"Libertas Međunarodno sveučilište, Zagreb ",Sveučilište u Zadru,3,ZAGREB,hrvatski jezik,zajednički studij,"doktor/doktorica znanosti iz područja društvenih znanost, polje interdisciplinarne društvene znanosti",Javno
2.12.  TEHNIČKE ZNANOSTI / Tehnologija prometa i transport,180,Tehnologije u pomorstvu,2489,sveučilišni,poslijediplomski sveučilišni studiji,"Pomorski fakultet, Split ",Sveučilište u Splitu,3,SPLIT,engleski jezik; hrvatski jezik,klasično,"doktor/doktorica znanosti, područje tehničkih znanosti, polje tehnologije prometa i transport ",Javno
3.02.  BIOMEDICINA I ZDRAVSTVO / Kliničke medicinske znanosti,120,Sestrinstvo ,2271,sveučilišni,diplomski sveučilišni studij,"Hrvatsko katoličko sveučilište, Zagreb","Hrvatsko katoličko sveučilište, Zagreb",2,ZAGREB,hrvatski jezik,klasično,magistar/magistra sestrinstva,Privatno 
,120,Biotehnološka istraživanja znanosti o životu (Biotechnology for the Life Sciences) ,2570,sveučilišni,diplomski sveučilišni studij,Sveučilište u Rijeci - Odjel za biotehnologiju ,Sveučilište u Rijeci - Odjel za biotehnologiju ,2,RIJEKA,engleski jezik,klasično,,Javno
,90,Sociologija (dvopredmetni) ,2545,sveučilišni,preddiplomski sveučilišni studij,"Hrvatsko katoličko sveučilište, Zagreb","Hrvatsko katoličko sveučilište, Zagreb",3,ZAGREB,hrvatski jezik,klasično,,Privatno 
,180,Fizika ,2386,sveučilišni,poslijediplomski sveučilišni studiji,"Sveučilište u Rijeci, Odjel za fiziku ",Sveučilište u Rijeci,3,RIJEKA,hrvatski jezik,klasično,,Javno
